season,round,official,source,drivers,teams,status,message
2021,1,2021 — FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/1/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,1,2021 — FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2021,none,0,0,no_results,
2021,2,2021 — FORMULA 1 PIRELLI GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA ROMAGNA 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/2/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,2,2021 — FORMULA 1 PIRELLI GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA ROMAGNA 2021,none,0,0,no_results,
2021,3,2021 — FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/3/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,3,2021 — FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2021,none,0,0,no_results,
2021,4,2021 — FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/4/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,4,2021 — FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2021,none,0,0,no_results,
2021,5,2021 — FORMULA 1 GRAND PRIX DE MONACO 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/5/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,5,2021 — FORMULA 1 GRAND PRIX DE MONACO 2021,none,0,0,no_results,
2021,6,2021 — FORMULA 1 AZERBAIJAN GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/6/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,6,2021 — FORMULA 1 AZERBAIJAN GRAND PRIX 2021,none,0,0,no_results,
2021,7,2021 — FORMULA 1 EMIRATES GRAND PRIX DE FRANCE 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/7/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,7,2021 — FORMULA 1 EMIRATES GRAND PRIX DE FRANCE 2021,none,0,0,no_results,
2021,8,2021 — FORMULA 1 BWT GROSSER PREIS DER STEIERMARK 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/8/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,8,2021 — FORMULA 1 BWT GROSSER PREIS DER STEIERMARK 2021,none,0,0,no_results,
2021,9,2021 — FORMULA 1 BWT GROSSER PREIS VON ÖSTERREICH 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/9/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,9,2021 — FORMULA 1 BWT GROSSER PREIS VON ÖSTERREICH 2021,none,0,0,no_results,
2021,10,2021 — FORMULA 1 PIRELLI BRITISH GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/10/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,10,2021 — FORMULA 1 PIRELLI BRITISH GRAND PRIX 2021,none,0,0,no_results,
2021,11,2021 — FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/11/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,11,2021 — FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2021,none,0,0,no_results,
2021,12,2021 — FORMULA 1 ROLEX BELGIAN GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/12/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,12,2021 — FORMULA 1 ROLEX BELGIAN GRAND PRIX 2021,none,0,0,no_results,
2021,13,2021 — FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/13/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,13,2021 — FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2021,none,0,0,no_results,
2021,14,2021 — FORMULA 1 HEINEKEN GRAN PREMIO D’ITALIA 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/14/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,14,2021 — FORMULA 1 HEINEKEN GRAN PREMIO D’ITALIA 2021,none,0,0,no_results,
2021,15,2021 — FORMULA 1 VTB RUSSIAN GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/15/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,15,2021 — FORMULA 1 VTB RUSSIAN GRAND PRIX 2021,none,0,0,no_results,
2021,16,2021 — FORMULA 1 ROLEX TURKISH GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/16/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,16,2021 — FORMULA 1 ROLEX TURKISH GRAND PRIX 2021,none,0,0,no_results,
2021,17,2021 — FORMULA 1 ARAMCO UNITED STATES GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/17/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,17,2021 — FORMULA 1 ARAMCO UNITED STATES GRAND PRIX 2021,none,0,0,no_results,
2021,18,2021 — FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/18/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,18,2021 — FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2021,none,0,0,no_results,
2021,19,2021 — FORMULA 1 HEINEKEN GRANDE PRÊMIO DE SÃO PAULO 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/19/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,19,2021 — FORMULA 1 HEINEKEN GRANDE PRÊMIO DE SÃO PAULO 2021,none,0,0,no_results,
2021,20,2021 — FORMULA 1 OOREDOO QATAR GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/20/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,20,2021 — FORMULA 1 OOREDOO QATAR GRAND PRIX 2021,none,0,0,no_results,
2021,21,2021 — FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/21/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,21,2021 — FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2021,none,0,0,no_results,
2021,22,2021 — FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2021,ergast,0,0,error,HTTP fail for https://ergast.com/api/f1/2021/22/results.json?limit=200: <urlopen error [Errno 111] Connection refused>
2021,22,2021 — FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2021,none,0,0,no_results,
2021,1,2021 — FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2021,fastf1,20,10,ok,
2021,2,2021 — FORMULA 1 PIRELLI GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA ROMAGNA 2021,fastf1,20,10,ok,
2021,3,2021 — FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2021,fastf1,20,10,ok,
2021,4,2021 — FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2021,fastf1,20,10,ok,
2021,5,2021 — FORMULA 1 GRAND PRIX DE MONACO 2021,fastf1,20,10,ok,
2021,6,2021 — FORMULA 1 AZERBAIJAN GRAND PRIX 2021,fastf1,20,10,ok,
2021,7,2021 — FORMULA 1 EMIRATES GRAND PRIX DE FRANCE 2021,fastf1,20,10,ok,
2021,8,2021 — FORMULA 1 BWT GROSSER PREIS DER STEIERMARK 2021,fastf1,20,10,ok,
2021,9,2021 — FORMULA 1 BWT GROSSER PREIS VON ÖSTERREICH 2021,fastf1,20,10,ok,
2021,10,2021 — FORMULA 1 PIRELLI BRITISH GRAND PRIX 2021,fastf1,20,10,ok,
2021,11,2021 — FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2021,fastf1,20,10,ok,
2021,12,2021 — FORMULA 1 ROLEX BELGIAN GRAND PRIX 2021,fastf1,20,10,ok,
2021,13,2021 — FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2021,fastf1,20,10,ok,
2021,14,2021 — FORMULA 1 HEINEKEN GRAN PREMIO D’ITALIA 2021,fastf1,20,10,ok,
2021,15,2021 — FORMULA 1 VTB RUSSIAN GRAND PRIX 2021,fastf1,20,10,ok,
2021,16,2021 — FORMULA 1 ROLEX TURKISH GRAND PRIX 2021,fastf1,20,10,ok,
2021,17,2021 — FORMULA 1 ARAMCO UNITED STATES GRAND PRIX 2021,fastf1,20,10,ok,
2021,18,2021 — FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2021,fastf1,20,10,ok,
