season,Equipo,Puntos F1GOAT (Temporada),puntos_total,factor,gps_disputados
2013,Sauber,68.763,130.65,0.5263145809414467,19
2014,Lotus F1,63.821,121.26,0.5263153554346033,19
2014,Marussia,60.244,96.39,0.6250025936300446,16
2015,Lotus F1,70.137,133.26,0.5263169743358848,19
1959,Ferrari,78.763,55.134,1.4285740196611891,7
1959,Elder,45.0,4.5,10.0,1
1959,Connaught,62.4,6.24,10.0,1
1960,BRM,73.363,58.69,1.2500085193388994,8
1960,Ewing,51.55,5.155,9.999999999999998,1
1991,Larrousse,58.8,11.76,5.0,2
1992,Larrousse,60.412,96.66,0.6249948272294641,16
1994,Pacific,52.8,26.4,2.0,5
1994,Tyrrell,66.919,107.07,0.6250023349210797,16
2016,Ferrari,79.5,166.95000000000002,0.47619047619047616,21
2018,Mercedes,85.114,178.73999999999998,0.4761888776994518,21
2020,Haas F1 Team,62.947,107.00999999999998,0.5882347444164099,17
2020,Sauber,65.241,110.91,0.5882337030024344,17
1951,Lesovsky,43.5,4.35,10.0,1
1951,OSCA,70.2,7.02,10.000000000000002,1
1952,Kuzma,86.4,8.64,10.0,1
1953,Bromme,49.0,4.9,10.0,1
1954,Bromme,38.7,3.87,10.0,1
1957,Vanwall,79.017,47.410000000000004,1.666673697532166,6
1958,Porsche,68.4,13.68,5.000000000000001,2
1963,Lotus-BRM,64.702,64.702,1.0,10
1963,Lotus-Climax,73.062,73.062,1.0,10
1963,Team Lotus,49.4,4.94,9.999999999999998,1
1966,Brabham-Climax,69.729,48.81,1.4285802089735709,7
1966,Cooper-Maserati,74.939,67.44500000000001,1.1111127585439986,9
1966,Eagle-Weslake,61.6,18.48,3.3333333333333335,3
1968,BRM,72.15,86.58,0.8333333333333334,12
1970,Bellasi,52.2,5.22,10.000000000000002,1
1970,Tyrrell,72.8,21.84,3.333333333333333,3
1971,BRM,72.218,79.44,0.9090886203423969,11
1971,Brabham,65.964,72.56,0.9090959206174201,11
1971,Surtees,67.8,74.58,0.9090909090909091,11
1971,Lotus-Pratt &amp; Whitney,62.8,18.84,3.333333333333333,3
1972,Matra,74.25,89.1,0.8333333333333334,12
1972,Team Lotus,70.575,84.69,0.8333333333333334,12
1974,Trojan,58.0,34.8,1.6666666666666667,6
1977,Renault,59.55,23.820000000000004,2.4999999999999996,4
1978,Merzario,55.5,44.400000000000006,1.2499999999999998,8
1978,Wolf,71.306,114.09,0.62499780874748,16
1979,Ligier,73.46,110.19,0.6666666666666666,15
1980,Ferrari,69.343,97.08000000000001,0.7142871858261227,14
1981,Brabham,74.8,112.20000000000002,0.6666666666666665,15
1981,Fittipaldi,62.533,56.28,1.1111051883439944,9
1982,McLaren,75.22,112.83000000000001,0.6666666666666666,15
1982,Williams,76.44,114.66,0.6666666666666666,15
1982,Ensign,58.867,52.980000000000004,1.111117402793507,9
1983,Arrows,67.28,100.92000000000002,0.6666666666666665,15
1984,Tyrrell,60.569,78.74000000000001,0.7692278384556769,13
1986,Osella,53.4,80.10000000000001,0.6666666666666666,15
1987,Zakspeed,61.656,98.65,0.6249974657881399,16
1988,Ferrari,76.087,121.73999999999998,0.6249958928864795,16
1989,Ferrari,72.806,116.49000000000001,0.624997853893038,16
1990,Dallara,57.844,92.55000000000001,0.6250027012425715,16
1990,Ligier,63.119,100.99,0.6250024754926231,16
1995,Ligier,70.453,119.77000000000001,0.5882357852550721,17
1995,Simtek,56.58,28.29,2.0,5
1996,Minardi,64.088,102.54,0.6250048761458942,16
1996,Sauber,70.763,113.22,0.6250044161808869,16
1996,Forti,61.6,36.96,1.6666666666666667,6
1997,Minardi,60.676,103.15,0.5882307319437712,17
1997,Sauber,70.612,120.04,0.5882372542485838,17
2003,Ferrari,82.125,131.4,0.625,16
2005,Toyota,77.447,147.15,0.5263132857628271,19
2006,McLaren,76.267,137.28,0.5555579836829837,18
2006,Williams,66.5,119.69999999999999,0.5555555555555556,18
2012,Mercedes,70.995,141.98999999999998,0.5000000000000001,20
1960,Christensen,56.4,5.64,10.0,1
1960,Kuzma,59.4,5.94,9.999999999999998,1
1991,Minardi,65.156,104.25,0.6249976019184653,16
1992,Minardi,61.7,92.55,0.6666666666666667,15
1993,Ligier,70.613,112.98000000000002,0.6250044255620463,16
2017,McLaren,66.87,133.73999999999998,0.5000000000000001,20
2017,Williams,70.545,141.09,0.5,20
2023,Mercedes,79.473,174.83999999999997,0.4545470144131778,22
2011,Toro Rosso,66.458,126.27,0.5263166231092105,19
2016,Force India,74.414,156.27,0.4761886478530748,21
2022,Racing Bulls,67.886,149.35,0.4545430197522598,22
1950,ERA,68.08,20.424,3.3333333333333335,3
1950,Deidt,73.53,7.353,10.0,1
1950,Stevens,69.6,6.96,10.0,1
1950,Wetteroth,46.2,4.62,10.0,1
1951,Maserati,57.4,34.44,1.6666666666666667,6
1951,Pawl,56.4,5.64,10.0,1
1951,Trevis,45.0,4.5,10.0,1
1951,Simca,68.263,27.305,2.5000183116645305,4
1952,BMW,55.65,5.565,9.999999999999998,1
1953,Cooper,66.983,46.888,1.4285744753455043,7
1953,Turner,52.8,5.28,9.999999999999998,1
1953,AFM,49.9,9.98,5.0,2
1954,Cooper,49.05,4.905,9.999999999999998,1
1955,Kuzma,57.9,5.79,10.0,1
1957,Kurtis Kraft,59.64,5.964,10.0,1
1957,Watson,53.8,5.38,10.0,1
1958,Phillips,75.6,7.56,10.0,1
1961,Ferguson,57.0,5.7,10.0,1
1961,MBM,37.25,3.725,10.0,1
1962,Cooper-Climax,74.678,67.21000000000001,1.1111144174973961,9
1962,De Tomaso-Alfa Romeo,49.4,4.94,9.999999999999998,1
1963,Gilby,60.0,6.0,10.0,1
1963,Cooper-Maserati,66.0,6.6,10.0,1
1964,Honda,65.0,19.5,3.3333333333333335,3
1965,LDS-Alfa Romeo,64.2,6.42,10.0,1
1966,Lotus-BRM,70.811,63.72999999999999,1.1111093676447517,9
1966,Lotus-Climax,77.1,61.68,1.25,8
1966,Cooper-Ferrari,65.1,13.02,5.0,2
1967,McLaren-BRM,73.0,43.8,1.6666666666666667,6
1968,Ferrari,75.6,83.16000000000001,0.909090909090909,11
1968,Lotus-Ford,76.304,91.56500000000001,0.8333315131327471,12
1971,Ferrari,73.018,80.32,0.9090886454183268,11
1971,Lotus-Ford,71.17,71.17,1.0,10
1979,Team Lotus,68.813,103.22000000000001,0.6666634373183491,15
1980,Brabham,73.029,102.24000000000001,0.7142899061032862,14
1980,Fittipaldi,65.079,91.11,0.7142904181758314,14
1981,Ferrari,70.58,105.86999999999998,0.6666666666666669,15
1982,Sauber,68.4,109.44,0.6250000000000001,16
1983,Tyrrell,63.08,94.62,0.6666666666666666,15
1984,Arrows,63.28,94.92,0.6666666666666666,15
1987,Benetton,73.406,117.45000000000002,0.624997871434653,16
1989,Brabham,66.381,106.21000000000001,0.6249976461726767,16
1990,Team Lotus,64.638,103.42,0.6250048346548057,16
1996,McLaren,76.762,122.82,0.6249959290017912,16
1996,Williams,84.637,135.42,0.624996307783193,16
1997,McLaren,75.318,128.04,0.5882380506091847,17
1997,Williams,80.912,137.54999999999998,0.5882370047255545,17
1998,Stewart,64.95,103.92000000000002,0.6249999999999999,16
