season,Equipo,Puntos F1GOAT (Temporada),puntos_total,factor,gps_disputados
1996,Footwork,64.462,103.13999999999999,0.6249951522202832,16
1998,Minardi,62.25,99.59999999999998,0.6250000000000001,16
1998,Sauber,71.513,114.42000000000002,0.6250043698654081,16
1999,Minardi,62.981,100.77,0.6249975191029077,16
1999,Sauber,66.825,106.91999999999997,0.6250000000000002,16
2001,Prost,66.971,113.85000000000001,0.5882389108476065,17
2004,BAR,78.283,140.91,0.5555531899794195,18
2004,Jaguar,69.383,124.89,0.5555528865401553,18
2004,Renault,77.917,140.25000000000003,0.5555579322638146,18
2006,MF1,62.229,87.12000000000002,0.7142906336088153,14
2007,McLaren,85.306,145.02,0.5882361053647772,17
2007,Williams,70.182,119.31,0.5882323359316067,17
2010,Renault,72.3,137.36999999999998,0.5263157894736843,19
2011,Sauber,67.079,127.45,0.5263162024323264,19
2012,Red Bull Racing,80.76,161.52,0.5,20
2012,HRT,53.937,102.47999999999999,0.5263173302107729,19
2025,Alpine F1 Team,65.7,98.54999999999998,0.6666666666666669,15
2025,RB F1 Team,70.68,106.01999999999998,0.6666666666666669,15
1959,Phillips,57.0,5.7,10.0,1
1960,Porsche,77.4,7.74,10.0,1
1991,Footwork,56.58,56.580000000000005,0.9999999999999999,10
1991,Leyton House,62.419,99.87,0.6250025032542305,16
1992,Footwork,68.194,109.11,0.6250022912656952,16
1994,Ligier,68.831,110.13000000000002,0.6249977299555071,16
1994,Simtek,57.181,91.49,0.6249972674609247,16
2019,Ferrari,82.043,172.29,0.4761913053572466,21
2020,Renault,75.776,128.82,0.5882316410495265,17
2023,Red Bull Racing,83.782,184.32000000000008,0.454546440972222,22
2014,Force India,72.932,138.57,0.526318828029155,19
2015,Force India,73.121,138.93,0.526315410638451,19
2019,Racing Point,69.233,145.39000000000001,0.47618818350643094,21
2021,Aston Martin,69.891,153.76,0.45454604578564,22
2025,McLaren,86.42,129.62999999999997,0.6666666666666669,15
2025,Williams,71.16,106.74000000000001,0.6666666666666666,15
2024,Kick Sauber,63.213,151.71,0.41666996242831716,24
1950,Adams,49.2,4.92,10.0,1
1950,Lesovsky,69.6,6.96,10.0,1
1951,HWM,66.6,6.66,9.999999999999998,1
1952,Kurtis Kraft,62.3,6.23,9.999999999999998,1
1952,Watson,61.8,6.18,10.0,1
1954,Mercedes,81.125,48.675,1.6666666666666667,6
1955,Vanwall,66.25,26.5,2.5,4
1958,Maserati,68.319,68.319,1.0,10
1958,Dunn,45.6,4.56,10.000000000000002,1
1961,Ferrari,80.6,56.42,1.4285714285714284,7
1961,De Tomaso-Osca,43.7,8.74,5.0,2
1962,Porsche,69.493,62.544000000000004,1.1111057815298029,9
1962,Lotus-Borgward,36.5,3.65,10.0,1
1962,Cooper-Alfa Romeo,64.8,6.48,9.999999999999998,1
1964,Ferrari,78.91,78.91,1.0,10
1967,Lotus-BRM,72.1,36.050000000000004,1.9999999999999996,5
1967,Lotus-Climax,78.0,7.8,10.0,1
1967,Matra,62.55,12.51,5.0,2
1968,Honda,74.75,89.70000000000002,0.8333333333333331,12
1969,McLaren-Ford,77.705,85.475,0.9090962269669495,11
1973,March,63.708,95.56200000000001,0.6666666666666665,15
1973,Tecno,61.35,24.54,2.5,4
1974,Team Lotus,71.08,106.61999999999999,0.6666666666666667,15
1975,BRM,56.46,56.46,1.0,10
1975,Brabham,75.921,106.29000000000002,0.7142816821902341,14
1975,Fittipaldi,58.745,64.62,0.9090838749613122,11
1975,Surtees,65.973,72.57,0.9090946672178587,11
1976,Team Lotus,67.219,107.55,0.6250023245002324,16
1977,Ligier,72.706,123.6,0.5882362459546926,17
1977,Kojima,63.0,6.3,10.0,1
1979,Renault,67.653,101.48000000000002,0.6666633819471817,15
1979,Rebaque,59.4,5.94,9.999999999999998,1
1980,ATS,65.138,84.68,0.7692253188474256,13
1980,Osella,58.62,58.62,1.0,10
1982,Arrows,65.4,91.56000000000002,0.7142857142857142,14
1983,McLaren,65.829,92.16,0.7142903645833333,14
1983,RAM,57.2,17.16,3.3333333333333335,3
1983,Williams,71.66,107.49,0.6666666666666666,15
1984,Sauber,65.7,105.12000000000002,0.6249999999999999,16
1985,Toleman,60.377,78.49000000000001,0.7692317492674225,13
1986,Ferrari,71.588,114.54,0.6250043652872358,16
1987,Team Lotus,74.963,119.94000000000001,0.625004168751042,16
1988,Osella,53.636,59.0,0.9090847457627119,11
1989,Osella,57.867,52.08,1.1111175115207372,9
1990,Benetton,76.35,122.16000000000001,0.6249999999999999,16
1995,Benetton,80.7,137.18999999999997,0.5882352941176472,17
1996,Tyrrell,68.081,108.92999999999999,0.6249977049481319,16
1997,Prost,70.606,120.02999999999999,0.5882362742647672,17
1997,Tyrrell,64.182,109.11000000000001,0.5882320593896068,17
2000,BAR,72.141,122.63999999999999,0.5882338551859101,17
2000,Benetton,70.782,120.33000000000001,0.58823236100723,17
2000,Jaguar,69.318,117.83999999999999,0.5882382892057026,17
2002,BAR,68.965,117.24000000000002,0.5882378027976799,17
2002,Jaguar,66.6,113.22000000000001,0.588235294117647,17
2002,Renault,73.006,124.11,0.5882362420433487,17
2006,Spyker MF1,59.775,23.91,2.5,4
2007,BMW Sauber,78.829,134.01,0.5882322214760093,17
2007,Toyota,69.706,118.49999999999999,0.5882362869198313,17
2010,Lotus,58.721,111.57000000000001,0.5263153177377431,19
2010,Mercedes,75.616,143.67000000000004,0.5263172548200736,19
2013,Mercedes,81.458,154.76999999999998,0.5263164696000517,19
2015,Manor Marussia,61.639,110.94999999999999,0.5555565570076612,18
1960,Kurtis Kraft,53.4,5.34,10.0,1
1960,Watson,68.19,6.819,10.0,1
1959,Vanwall,52.8,5.28,9.999999999999998,1
1991,AGS,55.0,16.5,3.3333333333333335,3
1991,Lambo,59.4,35.64,1.6666666666666665,6
1991,Tyrrell,66.619,106.58999999999999,0.625002345435782,16
1991,Lola,54.946,71.43,0.7692286154276914,13
1992,Tyrrell,63.225,101.16,0.625,16
1993,Benetton,76.463,122.34000000000002,0.6250040869707372,16
1994,Larrousse,58.856,94.16999999999999,0.6249973452267178,16
2016,McLaren,69.0,144.9,0.47619047619047616,21
2016,Williams,73.419,154.18,0.4761901673368789,21
2018,Haas F1 Team,71.3,149.73000000000005,0.476190476190476,21
2018,Sauber,68.157,143.13,0.47618947809683504,21
2020,Mercedes,86.065,146.30999999999997,0.5882373043537695,17
2021,Red Bull Racing,81.864,180.1,0.4545474736257635,22
2005,Jordan,65.005,123.51,0.5263136588130515,19
2017,Force India,76.275,152.54999999999998,0.5000000000000001,20
2023,Aston Martin,75.186,165.41,0.45454325615138147,22
